ano_modelo,name,code_marca,code_modelos
1998-3,1998 Diesel,4,21
2000-3,2000 Diesel,4,22
1999-3,1999 Diesel,4,22
1998-3,1998 Diesel,4,22
2000-3,2000 Diesel,4,23
1999-3,1999 Diesel,4,23
1998-3,1998 Diesel,4,23
1998-3,1998 Diesel,5,24
1997-3,1997 Diesel,5,24
1996-3,1996 Diesel,5,24
1995-3,1995 Diesel,5,24
1994-3,1994 Diesel,5,24
1998-3,1998 Diesel,5,25
1997-3,1997 Diesel,5,25
1996-3,1996 Diesel,5,25
1995-3,1995 Diesel,5,25
1994-3,1994 Diesel,5,25
1998-3,1998 Diesel,5,26
1997-3,1997 Diesel,5,26
1996-3,1996 Diesel,5,26
1995-3,1995 Diesel,5,26
1994-3,1994 Diesel,5,26
1993-3,1993 Diesel,5,26
1998-3,1998 Diesel,5,27
1997-3,1997 Diesel,5,27
1996-3,1996 Diesel,5,27
1995-3,1995 Diesel,5,27
1994-3,1994 Diesel,5,27
1993-3,1993 Diesel,5,27
1997-3,1997 Diesel,5,28
1996-3,1996 Diesel,5,28
1995-3,1995 Diesel,5,28
1994-3,1994 Diesel,5,28
1995-3,1995 Diesel,5,29
1994-3,1994 Diesel,5,29
1999-3,1999 Diesel,5,30
1998-3,1998 Diesel,5,30
1997-3,1997 Diesel,5,30
1999-3,1999 Diesel,5,31
1998-3,1998 Diesel,5,31
1997-3,1997 Diesel,5,31
1999-3,1999 Diesel,5,32
1998-3,1998 Diesel,5,32
1997-3,1997 Diesel,5,32
1996-3,1996 Diesel,5,32
1998-1,1998 Gasolina,5,33
1997-1,1997 Gasolina,5,33
1996-1,1996 Gasolina,5,33
1995-1,1995 Gasolina,5,33
1999-1,1999 Gasolina,5,34
1998-1,1998 Gasolina,5,34
1997-1,1997 Gasolina,5,34
1996-1,1996 Gasolina,5,34
1995-1,1995 Gasolina,5,34
1994-1,1994 Gasolina,5,34
1998-1,1998 Gasolina,5,35
1997-1,1997 Gasolina,5,35
1996-1,1996 Gasolina,5,35
1995-1,1995 Gasolina,5,35
1994-1,1994 Gasolina,5,35
1993-1,1993 Gasolina,5,35
1999-1,1999 Gasolina,5,36
1998-1,1998 Gasolina,5,36
1997-1,1997 Gasolina,5,36
1999-1,1999 Gasolina,5,37
1998-1,1998 Gasolina,5,37
1997-1,1997 Gasolina,5,37
1998-1,1998 Gasolina,5,38
1997-1,1997 Gasolina,5,38
1996-1,1996 Gasolina,5,38
1995-1,1995 Gasolina,5,38
1994-1,1994 Gasolina,5,38
1999-1,1999 Gasolina,5,39
1998-1,1998 Gasolina,5,39
1997-1,1997 Gasolina,5,39
1998-1,1998 Gasolina,5,40
1997-1,1997 Gasolina,5,40
1996-1,1996 Gasolina,5,40
1995-1,1995 Gasolina,5,40
1994-1,1994 Gasolina,5,40
1993-1,1993 Gasolina,5,40
1999-1,1999 Gasolina,5,41
1998-1,1998 Gasolina,5,41
1997-1,1997 Gasolina,5,41
1998-1,1998 Gasolina,5,42
1997-1,1997 Gasolina,5,42
1996-1,1996 Gasolina,5,42
1995-1,1995 Gasolina,5,42
1994-1,1994 Gasolina,5,42
1993-1,1993 Gasolina,5,42
2016-1,2016 Gasolina,189,6906
2014-1,2014 Gasolina,189,6906
2011-1,2011 Gasolina,189,6340
32000-1,32000 Gasolina,189,10560
2023-1,2023 Gasolina,189,10560
2022-1,2022 Gasolina,189,10560
32000-1,32000 Gasolina,189,10561
2023-1,2023 Gasolina,189,10561
2022-1,2022 Gasolina,189,10561
32000-1,32000 Gasolina,189,10562
2023-1,2023 Gasolina,189,10562
2012-1,2012 Gasolina,189,6341
2011-1,2011 Gasolina,189,6341
2016-1,2016 Gasolina,189,6907
2014-1,2014 Gasolina,189,6907
2016-1,2016 Gasolina,189,6909
2014-1,2014 Gasolina,189,6909
2012-1,2012 Gasolina,189,6342
2016-1,2016 Gasolina,189,6343
2014-1,2014 Gasolina,189,6343
2012-1,2012 Gasolina,189,6343
2011-1,2011 Gasolina,189,6343
32000-1,32000 Gasolina,189,10144
2023-1,2023 Gasolina,189,10144
2022-1,2022 Gasolina,189,10144
32000-1,32000 Gasolina,189,10183
2023-1,2023 Gasolina,189,10183
2022-1,2022 Gasolina,189,10183
2011-1,2011 Gasolina,189,6344
2010-1,2010 Gasolina,189,6344
32000-1,32000 Gasolina,189,10642
2023-1,2023 Gasolina,189,10642
2016-1,2016 Gasolina,189,6908
2015-1,2015 Gasolina,189,6908
2012-1,2012 Gasolina,189,6345
2012-1,2012 Gasolina,189,6346
1995-1,1995 Gasolina,6,43
1994-1,1994 Gasolina,6,43
1993-1,1993 Gasolina,6,43
1995-1,1995 Gasolina,6,44
1994-1,1994 Gasolina,6,44
1995-1,1995 Gasolina,6,45
1994-1,1994 Gasolina,6,45
1995-1,1995 Gasolina,6,46
1994-1,1994 Gasolina,6,46
1995-1,1995 Gasolina,6,47
1994-1,1994 Gasolina,6,47
1995-1,1995 Gasolina,6,48
1994-1,1994 Gasolina,6,48
1996-1,1996 Gasolina,6,49
1995-1,1995 Gasolina,6,49
1994-1,1994 Gasolina,6,49
1999-1,1999 Gasolina,6,50
1998-1,1998 Gasolina,6,50
1997-1,1997 Gasolina,6,50
1996-1,1996 Gasolina,6,50
1995-1,1995 Gasolina,6,50
1994-1,1994 Gasolina,6,50
1995-1,1995 Gasolina,6,51
1994-1,1994 Gasolina,6,51
2014-1,2014 Gasolina,6,5496
2013-1,2013 Gasolina,6,5496
2012-1,2012 Gasolina,6,5496
2011-1,2011 Gasolina,6,5496
2013-1,2013 Gasolina,6,6293
2014-1,2014 Gasolina,6,6143
2013-1,2013 Gasolina,6,6143
2012-1,2012 Gasolina,6,6143
2017-1,2017 Gasolina,6,7727
2016-1,2016 Gasolina,6,7727
2015-1,2015 Gasolina,6,6201
2014-1,2014 Gasolina,6,6201
2013-1,2013 Gasolina,6,6201
2018-1,2018 Gasolina,6,6200
2017-1,2017 Gasolina,6,6200
2016-1,2016 Gasolina,6,6200
2015-1,2015 Gasolina,6,6200
2014-1,2014 Gasolina,6,6200
2013-1,2013 Gasolina,6,6200
2018-1,2018 Gasolina,6,7418
2017-1,2017 Gasolina,6,7418
2016-1,2016 Gasolina,6,7418
2003-1,2003 Gasolina,6,52
2002-1,2002 Gasolina,6,52
2001-1,2001 Gasolina,6,52
2000-1,2000 Gasolina,6,52
1999-1,1999 Gasolina,6,52
2003-1,2003 Gasolina,6,53
2002-1,2002 Gasolina,6,53
2001-1,2001 Gasolina,6,53
2000-1,2000 Gasolina,6,53
1999-1,1999 Gasolina,6,53
2006-1,2006 Gasolina,6,54
2005-1,2005 Gasolina,6,54
2004-1,2004 Gasolina,6,54
2003-1,2003 Gasolina,6,54
2002-1,2002 Gasolina,6,54
2001-1,2001 Gasolina,6,54
2000-1,2000 Gasolina,6,54
1999-1,1999 Gasolina,6,54
2003-1,2003 Gasolina,6,55
2002-1,2002 Gasolina,6,55
2001-1,2001 Gasolina,6,55
2000-1,2000 Gasolina,6,55
1999-1,1999 Gasolina,6,55
2007-1,2007 Gasolina,6,4154
2004-1,2004 Gasolina,6,56
2003-1,2003 Gasolina,6,56
2002-1,2002 Gasolina,6,56
2001-1,2001 Gasolina,6,56
2000-1,2000 Gasolina,6,56
1999-1,1999 Gasolina,6,56
1998-1,1998 Gasolina,6,56
1997-1,1997 Gasolina,6,56
2004-1,2004 Gasolina,6,57
2003-1,2003 Gasolina,6,57
2002-1,2002 Gasolina,6,57
2001-1,2001 Gasolina,6,57
2000-1,2000 Gasolina,6,57
1999-1,1999 Gasolina,6,57
1998-1,1998 Gasolina,6,57
1997-1,1997 Gasolina,6,57
2006-1,2006 Gasolina,6,58
2005-1,2005 Gasolina,6,58
2004-1,2004 Gasolina,6,58
2003-1,2003 Gasolina,6,58
2002-1,2002 Gasolina,6,58
2001-1,2001 Gasolina,6,58
2000-1,2000 Gasolina,6,58
1999-1,1999 Gasolina,6,58
1998-1,1998 Gasolina,6,58
1997-1,1997 Gasolina,6,58
2006-1,2006 Gasolina,6,59
2005-1,2005 Gasolina,6,59
2004-1,2004 Gasolina,6,59
2003-1,2003 Gasolina,6,59
2002-1,2002 Gasolina,6,59
2001-1,2001 Gasolina,6,59
2000-1,2000 Gasolina,6,59
1999-1,1999 Gasolina,6,59
1998-1,1998 Gasolina,6,59
1997-1,1997 Gasolina,6,59
2003-1,2003 Gasolina,6,60
2002-1,2002 Gasolina,6,60
2004-1,2004 Gasolina,6,61
2003-1,2003 Gasolina,6,61
2002-1,2002 Gasolina,6,61
2001-1,2001 Gasolina,6,61
2000-1,2000 Gasolina,6,61
2006-1,2006 Gasolina,6,62
2005-1,2005 Gasolina,6,62
2004-1,2004 Gasolina,6,62
2003-1,2003 Gasolina,6,62
2002-1,2002 Gasolina,6,62
2006-1,2006 Gasolina,6,63
2005-1,2005 Gasolina,6,63
2004-1,2004 Gasolina,6,63
2003-1,2003 Gasolina,6,63
2002-1,2002 Gasolina,6,63
2001-1,2001 Gasolina,6,63
2000-1,2000 Gasolina,6,63
2003-1,2003 Gasolina,6,64
2002-1,2002 Gasolina,6,64
2001-1,2001 Gasolina,6,64
2000-1,2000 Gasolina,6,64
1999-1,1999 Gasolina,6,64
1998-1,1998 Gasolina,6,64
1997-1,1997 Gasolina,6,64
2004-1,2004 Gasolina,6,65
2003-1,2003 Gasolina,6,65
2002-1,2002 Gasolina,6,65
2001-1,2001 Gasolina,6,65
2000-1,2000 Gasolina,6,65
1999-1,1999 Gasolina,6,65
1998-1,1998 Gasolina,6,65
1997-1,1997 Gasolina,6,65
2006-1,2006 Gasolina,6,66
2005-1,2005 Gasolina,6,66
2004-1,2004 Gasolina,6,66
2003-1,2003 Gasolina,6,66
2002-1,2002 Gasolina,6,66
2001-1,2001 Gasolina,6,66
2000-1,2000 Gasolina,6,66
1999-1,1999 Gasolina,6,66
1998-1,1998 Gasolina,6,66
2006-1,2006 Gasolina,6,67
2005-1,2005 Gasolina,6,67
2004-1,2004 Gasolina,6,67
2003-1,2003 Gasolina,6,67
2002-1,2002 Gasolina,6,67
2001-1,2001 Gasolina,6,67
2000-1,2000 Gasolina,6,67
1999-1,1999 Gasolina,6,67
2016-1,2016 Gasolina,6,6950
2015-1,2015 Gasolina,6,6950
2018-1,2018 Gasolina,6,8227
2017-1,2017 Gasolina,6,8227
2019-1,2019 Gasolina,6,8559
2018-1,2018 Gasolina,6,7419
2017-1,2017 Gasolina,6,7419
2016-1,2016 Gasolina,6,7419
2021-1,2021 Gasolina,6,8945
2020-1,2020 Gasolina,6,8945
2019-1,2019 Gasolina,6,8768
2016-1,2016 Gasolina,6,6689
2015-1,2015 Gasolina,6,6689
2014-1,2014 Gasolina,6,6689
32000-1,32000 Gasolina,6,10195
2023-1,2023 Gasolina,6,10195
2022-1,2022 Gasolina,6,10195
2021-1,2021 Gasolina,6,10195
2020-1,2020 Gasolina,6,10195
2018-1,2018 Gasolina,6,7391
2017-1,2017 Gasolina,6,7391
2016-1,2016 Gasolina,6,7391
2016-1,2016 Gasolina,6,6768
2015-1,2015 Gasolina,6,6768
2014-1,2014 Gasolina,6,6768
2020-1,2020 Gasolina,6,8560
2019-1,2019 Gasolina,6,8560
2021-1,2021 Gasolina,6,8561
2020-1,2020 Gasolina,6,8561
2019-1,2019 Gasolina,6,8561
2021-1,2021 Gasolina,6,8562
2020-1,2020 Gasolina,6,8562
2019-1,2019 Gasolina,6,8562
32000-1,32000 Gasolina,6,9963
2023-1,2023 Gasolina,6,9963
2022-1,2022 Gasolina,6,9963
2022-1,2022 Gasolina,6,9655
2014-1,2014 Gasolina,6,6461
2013-1,2013 Gasolina,6,6461
2013-1,2013 Gasolina,6,5125
2012-1,2012 Gasolina,6,5125
2011-1,2011 Gasolina,6,5125
2010-1,2010 Gasolina,6,5125
32000-1,32000 Gasolina,6,9964
2023-1,2023 Gasolina,6,9964
2022-1,2022 Gasolina,6,9964
2020-1,2020 Gasolina,6,8563
2019-1,2019 Gasolina,6,8563
32000-1,32000 Gasolina,6,9965
2023-1,2023 Gasolina,6,9965
2022-1,2022 Gasolina,6,9965
2022-1,2022 Gasolina,6,9657
2018-1,2018 Gasolina,6,6510
2017-1,2017 Gasolina,6,6510
2016-1,2016 Gasolina,6,6510
2015-1,2015 Gasolina,6,6510
2014-1,2014 Gasolina,6,6510
2010-1,2010 Gasolina,6,4155
2009-1,2009 Gasolina,6,4155
2008-1,2008 Gasolina,6,4155
2007-1,2007 Gasolina,6,4155
2016-1,2016 Gasolina,6,6511
2015-1,2015 Gasolina,6,6511
2014-1,2014 Gasolina,6,6511
2011-1,2011 Gasolina,6,4156
2010-1,2010 Gasolina,6,4156
2009-1,2009 Gasolina,6,4156
2008-1,2008 Gasolina,6,4156
