code_modelo,name,code_marcas
6145,A4 2.0 Avant 16V TFSI Quattro Stronic,6
7750,A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.,6
4844,A4 2.0 Avant TFSI 183/180cv Multitroni,6
4183,A4 2.0 Avant TFSI 200/214cv Multitron.,6
77,A4 2.4 30V Avant Mec.,6
78,A4 2.4 30V Avant Tip./Multitronic,6
79,A4 2.4 30V Mec.,6
80,A4 2.4 30V Tip./Multitronic,6
81,A4 2.4 Avant V6 30V Quattro Mec.,6
82,A4 2.4 Avant V6 30V Quattro Tiptronic,6
83,A4 2.4 V6 30V Quattro Mec.,6
84,A4 2.4 V6 30V Quattro Tiptronic,6
85,A4 2.8,6
86,A4 2.8 30V  Tiptronic/ Aut.,6
87,A4 2.8 30V Mec.,6
88,A4 2.8 Avant V6 12V,6
89,A4 2.8 Avant V6 30V Mec.,6
90,A4 2.8 Avant V6 30V Quattro Mec.,6
91,A4 2.8 Avant V6 30V Quattro Tiptronic,6
92,A4 2.8 Avant V6 30V Tiptronic,6
93,A4 2.8 V6 30V  Quattro Tiptronic,6
94,A4 2.8 V6 30V Quattro Mec.,6
95,A4 3.0 30V 218cv Multitronic 4p,6
96,A4 3.0 30V 218cv Quattro Tiptron./Aut 4p,6
97,A4 3.0 Avant 30V 218cv Multitronic 5p,6
98,A4 3.0 Avant 30V 218cv Quattro Tiptronic,6
99,A4 3.0 Cabriolet 30V 218cv Multitronic,6
4286,A4 3.2 FSI 24V 255cv Multitronic,6
4731,A4 3.2 FSI 24V 269cv Quattro Tiptronic,6
4287,A4 3.2 FSI Avant 24V 255cv Multitronic,6
4935,A4 3.2 FSI Avant 24V Quattro S Tronic,6
4288,A4 3.2 FSI Cabriolet 24V 255cv Multitron,6
7717,A4 Ambiente 2.0 TFSI 190cv S tronic,6
7894,A4 Ambition 2.0 TFSI Quattro S tronic,6
7656,A4 Attraction 2.0 TFSI 190cv S tronic,6
8228,A4 Avant Lim. Ed. 2.0 TFSI S tronic,6
8769,A4 Avant Prest. Plus 2.0 TFSI S-tronic,6
7537,A4 Launch Edition 2.0 TFSI 190cv S troni,6
8229,A4 Limited Edition 2.0 TFSI S tronic,6
9223,A4 Perfor. Black 2.0 TFSI Quat. S tronic,6
9894,A4 Prestige 2.0 TFSI S-tronic,6
8771,A4 Prestige Plus 2.0 TFSI 190cv S tronic,6
9824,A4 S Line 2.0  TFSI 204cv S Tonic,6
4798,A5 3.2 FSI 24V 269cv Multitronic,6
5126,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni,6
7999,A5 Ambiente Sportb. 2.0 TFSI S tonic,6
8000,A5 Ambit. Plus Sport. 2.0 TFSI S tronic,6
8001,A5 Ambit. Sport. 2.0 TFSI S tronic,6
8002,A5 Attraction Sportb. 2.0 TFSI S tronic,6
6082,A5 Cabriolet 2.0 TFSI Quattro Stronic,6
6083,A5 Coupê 2.0 TFSI Quattro Stronic,6
6084,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,6
10652,A5 Sportb. Carbon Ed. 2.0 TFSI S-tronic,6
8564,A5 Sportb. Perf. 2.0 TFSI Quat. S-tronic,6
8565,A5 Sportb. Prestige 2.0 16V TFSI S-troni,6
8566,A5 Sportb.Perf.B. 2.0 TFSI Quat. S-troni,6
8567,A5 Sportb.Prestige Plus 2.0 TFSI S-tronc,6
7022,A5 Sportback 1.8 TFSI 170cv Multi.,6
6043,A5 Sportback 2.0 16V TFSI 180cv Multi.,6
5234,A5 Sportback 2.0 16V TFSI 211cv Multi.,6
8772,A5 Sportback S-Line 2.0 TFSI S-tronic,6
7254,A6 2.0 TFSI 252cv S tronic 4p,6
100,A6 2.4 30V Mec,6
101,A6 2.4 30V Tip./Multitronic,6
102,A6 2.4 Avant 30V Mec.,6
103,A6 2.4 Avant 30V Tip./ Multitronic,6
104,A6 2.4 Avant V6 30V Quattro Mec.,6
105,A6 2.4 Avant V6 30V Quattro Tiptronic,6
106,A6 2.4 V6 30V Quattro Mec,6
107,A6 2.4 V6 30V Quattro Tiptronic,6
108,A6 2.7 30V Avant Tiptronic,6
109,A6 2.7 30V Mec.,6
110,A6 2.7 Avant Quattro Tiptronic,6
111,A6 2.7 Quattro Tiptronic,6
112,A6 2.8,6
113,A6 2.8 30V Mec.,6
114,A6 2.8 30V Tiptronic,6
115,A6 2.8 Avant,6
116,A6 2.8 Avant 30V Mec.,6
117,A6 2.8 Avant 30V Tiptronic,6
118,A6 2.8 Avant V6 30V Quattro Mec.,6
119,A6 2.8 Avant V6 30V Quattro Tiptronic,6
120,A6 2.8 V6 30V Quattro Mec.,6
121,A6 2.8 V6 30V Quattro Tiptronic,6
122,A6 3.0 Avant V6 30V 218cv Multitronic 5p,6
5374,A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p,6
6413,A6 3.0 Avant.TFSI V6 Quattro S tronic 5p,6
4958,A6 3.0 TB FSI V6 Quattro Tiptronic,6
6414,A6 3.0 TFSI V6 Quattro S tronic 4p,6
123,A6 3.0 V6 30V 218cv Multitronic 4p,6
4526,A6 3.2 FSI 24V 255cv Multitronic,6
124,A6 4.2 Avant Quattro Tiptronic,6
125,A6 4.2 Quattro Tiptronic,6
6462,A6 Allroad 3.0 TFSI V6 Quattro S tronic,6
9298,A6 Perf. Black 3.0 TFSI Quattro S-tronic,6
8814,A6 Performance 3.0 TFSI Quattro S.tronic,6
9451,A6 Prestige Plus 2.0 TFSI Quattro S-tro.,6
9319,A7 SP.b. Perf. Bla. 3.0 TFSI Quat. S-tro,6
7447,A7 Sportback 2.0 TFSI S Tronic,6
5549,A7 Sportback 3.0 TFSI Quattro S Tronic,6
8815,A7 Sportback Perf. 3.0 TFSI S-tron Quat.,6
